name,denomination,address
Air Force Village I Catholic Chapel Association,Catholic,"4917 RAVENSWOOD DR APT 114, SAN ANTONIO, TX 78227-4338"
San Antonio Pentecostal Church,Pentecostal,"2330 PINN RD, SAN ANTONIO, TX 78227-3626"
Grace Ministries Church,Christian / General,"10915 VANCE JACKSON RD, SAN ANTONIO, TX 78230-2505"
The Romanian Orthodox Archdiocese In America And Canada,Orthodox,"1801 THORAIN BLVD, SAN ANTONIO, TX 78201-2935"
Wildaplat Christian Fellowship Inc,Christian / General,"PO BOX 780248, SAN ANTONIO, TX 78278-0248"
Casting Vision Ministries,Christian / General,"3515 CANYON PKWY APT 9208, SAN ANTONIO, TX 78259-2466"
Iglesia Cristiana Bajo La Sombra De L Arbol De La Vida Inc,,"419 GARDINA ST, SAN ANTONIO, TX 78201-2905"
Call To Holiness,,"13407 ELM FORREST, SAN ANTONIO, TX 78253-4930"
Gateway Fellowship Assembly Of God Church,Christian / General,"10907 W LOOP 1604 N, SAN ANTONIO, TX 78254-3300"
Spirit & Life Fellowship,Christian / General,"6210 STABLE POINT DR, SAN ANTONIO, TX 78249-4616"
Templo La Tierra Prometida,,"159 ALICIA AVE, SAN ANTONIO, TX 78228-5802"
Vision On Fire Ministries Inc,Christian / General,"2203 LEE HALL, SAN ANTONIO, TX 78201-3452"
Mission City Fellowship,Christian / General,"3134 SABLE XING, SAN ANTONIO, TX 78232-4105"
Rio Grande Native American Church,,"PO BOX 460346, SAN ANTONIO, TX 78246-0346"
Solid Rock Church Of San Antonio,,"9402 SYCAMORE BRK, SAN ANTONIO, TX 78254-6919"
San Antonio Catholic Worker Community Housing Trust Of 1992,Catholic,"4711 DIETRICH ROAD BLDG 10, SAN ANTONIO, TX 78219-2873"
Butler African Methodist Episcopal Church,Methodist,"3618 HOWARD ST, SAN ANTONIO, TX 78212-1944"
Iglesia Pentecostal Torre De Santidad Inc,Pentecostal,"10929 NACOGDOCHES RD STE 14, SAN ANTONIO, TX 78217-2873"
Mission City Bible Church,,"4114 DESERT VIEW DR, SAN ANTONIO, TX 78217-3516"
Iglesia Cristiana El Sembrador,,"1422 RICHLAND HILLS, SAN ANTONIO, TX 78251-2983"
Providence Church San Antonio,,"11527 WINDTREE, SAN ANTONIO, TX 78253-6117"
Iglesia Pentecostal Unida Hispana 1 Inc,Pentecostal,"854 KENDALIA AVE, SAN ANTONIO, TX 78221-1318"
Church Strong,,"3606 MARLARK PASS, SAN ANTONIO, TX 78261-2714"
Inspired Word Church,,"20770 US HIGHWAY 281 N STE 108, SAN ANTONIO, TX 78258-7500"
Sisters In Christ Outreach Ministry Inc,Christian / General,"10355 FORT DAVIS TRL, SAN ANTONIO, TX 78245-3162"
Grace Mosaic Mission Church,,"6391 DE ZAVALA RD STE 106, SAN ANTONIO, TX 78249-2144"
Iglesia Gracia Y Verdad San Antonio,,"12834 COUNTRY RDG, SAN ANTONIO, TX 78216-2324"
Life Spring Ministries,Christian / General,"14413 GOLD RUSH PASS, SAN ANTONIO, TX 78254-4469"
Klema Life Church,,"1253 CRYSTAL, SAN ANTONIO, TX 78211-1621"
Churchill Spirit Club,,"12049 BLANCO RD, SAN ANTONIO, TX 78216-2411"
Noonday Farms Ministry,Christian / General,"404 HARMON DR, SAN ANTONIO, TX 78209-4832"
Logos Christian Reformed Church,Christian / General,"9739 HUEBNER RD, SAN ANTONIO, TX 78240-3163"
5 Crowns Church Inc,,"12203 COAL MINE RISE, SAN ANTONIO, TX 78245-3576"
Press Start Ministries Inc,Christian / General,"14317 POTRANCO RD PMB 1053, SAN ANTONIO, TX 78253-7125"
Vital Seed Ministries International Inc,Christian / General,"8418 BEAR TREE CIRCLE 100, SAN ANTONIO, TX 78255-3625"
Acts Hiv-Aids Ministry,Christian / General,"1819 NEVADA ST, SAN ANTONIO, TX 78203-1735"
Blueprint Ministries Inc,Christian / General,"2926 S PRESA ST, SAN ANTONIO, TX 78210-3916"
Baptist Health Foundation Of San Antonio,Baptist,"755 E MULBERRY AVE STE 320, SAN ANTONIO, TX 78212-3129"
Church Of Scientology,,"244 W OLMOS DR, SAN ANTONIO, TX 78212-1956"
St Pauls Episcopal Montessori School,Episcopal,"1018 E GRAYSON ST, SAN ANTONIO, TX 78208-1224"
Victory Worship Center Inc,,"102 SPRINGVALE DR, SAN ANTONIO, TX 78227-4448"
Unsearchable Riches Of Christ Ministries,Christian / General,"19540 S US HIGHWAY 281, SAN ANTONIO, TX 78221-9729"
Iglesia Luterana San Pablo,,"2903 NACOGDOCHES RD, SAN ANTONIO, TX 78217-4522"
Souls Host Ministries Inc,Christian / General,"11704 HWY 181 S LOT 73, SAN ANTONIO, TX 78223-0000"
Church Under The Bridge,,"PO BOX 34421, SAN ANTONIO, TX 78265-4421"
Fountain Of Living Water Apostolic Church,Apostolic,"411 FARGO AVE, SAN ANTONIO, TX 78220-1215"
Lutheran Campus Ministry-San Antonio,Lutheran,"10407 LUZON DR, SAN ANTONIO, TX 78217-3918"
El Shaddai Ministries Inc,Christian / General,"66 MCLENNAN OAK, SAN ANTONIO, TX 78240-5203"
Care Ministry,Christian / General,"9631 PLEASANTON PL, SAN ANTONIO, TX 78221-3340"
Calvary Chapel South Side,,"PO BOX 14333, SAN ANTONIO, TX 78214-0333"
Voice Of Truth Christian Church,Christian / General,"446 GILBERT LN, SAN ANTONIO, TX 78213-3609"
Iglesia Camino Victorioso,,"10023 REGAL PT, SAN ANTONIO, TX 78254-6167"
Vertical Ministries,Christian / General,"4218 THOUSAND OAKS DR, SAN ANTONIO, TX 78217-1862"
Family Baptist Church,Baptist,"3950 EISENHAUER RD, SAN ANTONIO, TX 78218-3407"
Jesus Es El Cristo Ministries,Christian / General,"1706 RIGSBY AVE, SAN ANTONIO, TX 78210-3217"
New Spirit Baptist Church,Baptist,"7717 TEZEL RD, SAN ANTONIO, TX 78250-3039"
Acts 238 Ministries,Christian / General,"5666 CASTLE GLADE, SAN ANTONIO, TX 78218-2305"
Oasis Of Light Ministries,Christian / General,"25294 W INTERSTATE 10, SAN ANTONIO, TX 78257-9517"
